entry,at,order
"""Han @ zkpZrelbNa"" checks",2020-05-30T05:47:29.003Z,1.59082E+14
"flop:  [4♣, 7♣, 8♦]",2020-05-30T05:47:24.458Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:47:23.551Z,1.59082E+14
"""Han @ zkpZrelbNa"" calls with 20",2020-05-30T05:47:20.940Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 20",2020-05-30T05:47:19.554Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 20",2020-05-30T05:47:15.236Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 20",2020-05-30T05:47:13.643Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" folds",2020-05-30T05:47:12.182Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" posts a big blind of 20",2020-05-30T05:46:52.150Z,1.59082E+14
"""Han @ zkpZrelbNa"" posts a small blind of 10",2020-05-30T05:46:52.150Z,1.59082E+14
"Your hand is 8♣, 10♠",2020-05-30T05:46:52.150Z,1.59082E+14
"-- starting hand #113 (dealer: ""ToeKnee @ 2e90LzkfW1"") --",2020-05-30T05:46:52.150Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" shows a 5♥, 7♠.",2020-05-30T05:46:49.581Z,1.59082E+14
"""Han @ zkpZrelbNa"" shows a A♠, K♠.",2020-05-30T05:46:44.988Z,1.59082E+14
-- ending hand #112 --,2020-05-30T05:46:43.586Z,1.59082E+14
"""JX @ 2G9coVWBct"" shows a 4♦, 3♥.",2020-05-30T05:46:43.586Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" wins 13980 with Three of a Kind, 2's (hand: A♥, 2♦)",2020-05-30T05:46:43.586Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 5857",2020-05-30T05:46:42.676Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" raises and all in with 5857",2020-05-30T05:46:24.606Z,1.59082E+14
"river: 2♥, 3♣, 2♠, 7♥ [6♥]",2020-05-30T05:46:17.127Z,1.59082E+14
"""Han @ zkpZrelbNa"" folds",2020-05-30T05:46:15.714Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 933",2020-05-30T05:46:09.031Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" raises with 933",2020-05-30T05:46:07.259Z,1.59082E+14
"""Han @ zkpZrelbNa"" checks",2020-05-30T05:45:56.997Z,1.59082E+14
"turn: 2♥, 3♣, 2♠ [7♥]",2020-05-30T05:45:54.851Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 100",2020-05-30T05:45:53.944Z,1.59082E+14
"""Han @ zkpZrelbNa"" calls with 100",2020-05-30T05:45:50.104Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" folds",2020-05-30T05:45:46.980Z,1.59082E+14
"""JX @ 2G9coVWBct"" raises with 100",2020-05-30T05:45:46.018Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" folds",2020-05-30T05:45:42.059Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 50",2020-05-30T05:45:40.093Z,1.59082E+14
"""Han @ zkpZrelbNa"" raises with 50",2020-05-30T05:45:35.306Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:45:30.814Z,1.59082E+14
"flop:  [2♥, 3♣, 2♠]",2020-05-30T05:45:26.029Z,1.59082E+14
"""Han @ zkpZrelbNa"" checks",2020-05-30T05:45:25.118Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 20",2020-05-30T05:45:22.681Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 20",2020-05-30T05:45:08.626Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 20",2020-05-30T05:45:02.228Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" folds",2020-05-30T05:45:00.766Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 20",2020-05-30T05:44:55.175Z,1.59082E+14
"""Han @ zkpZrelbNa"" posts a big blind of 20",2020-05-30T05:44:52.923Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" posts a small blind of 10",2020-05-30T05:44:52.923Z,1.59082E+14
